Model,Synapse Dice (%),Cataract-1K Dice (%),ACDC Dice (%),Throughput (img/s),Throughput Std,Memory (MiB),GFLOPs
TransUNet,77.23,93.12,89.53,238.88,0.54,2388.21,58.41
SwinUNet (Swin-Base),76.24,90.60,89.81,149.84,0.27,2548.03,61.53
MISSFormer,71.38,90.38,86.66,239.90,3.28,2951.50,19.52
H2Former,78.68,93.02,89.47,203.45,0.76,2629.61,51.35
TransCASCADE,77.32,90.47,89.54,195.85,0.29,2244.44,89.59
VM-UNet,78.61,79.02,90.00,240.49,0.77,2146.31,9.90
AD2Former,80.96,94.14,90.57,49.81,0.16,22869.29,1656.68
Lightweight-TransUNet (Ours),79.19,93.36,90.32,460.64,0.38,1710.81,28.23
